Жизнь,Ответственное отношение к своему здоровью,Возможности самореализации,"Развитие гражданского участия, вовлеченности","Увеличение числа граждан (молодежи), стремящихся жить и работать на родине","Развитие гражданского участия, вовлеченности","Укрепление единства и сплоченности общества на основе гражданской идентичности, сохранение духовно-нравственных ценностей","Качественный рост культурных и досуговых запросов граждан, в том числе в отношении медиапродукции",Рост общественной ценности и повышение статуса семьи,Увеличилась трудовая мобильность работников сферы искусства (в т. ч. студентов профильных ВУЗов) из центров в регионы ,Cпособность понимать и ценить искусство и культуру,Изменение чувства валидированности (не стигматизированности),Развитие эмоционального интеллекта,Изменение чувства валидированности (не стигматизированности),Консолидация местного сообщества,Изменение понимания/ ожиданий возможностей самореализации,Консолидация местного сообщества,Национальная идентичность / развитие межнациональных / межкультурных связей
Достоинство,Мотивация активного образа жизни,Повышение удовлетворенностью жизнью,Изменение чувства валидированности (не стигматизированности),"Укрепление единства и сплоченности общества на основе гражданской идентичности, сохранение духовно-нравственных ценностей",Рост социального капитала,Консолидация местного сообщества,"Укрепление единства и сплоченности общества на основе гражданской идентичности, сохранение духовно-нравственных ценностей","Обеспечение условий для развлечений, удовольствий, радости","Развитие рынка труда в сфере культуры
",Повышение социокультурного потенциала общества,Развитие эмоционального интеллекта,Изменение чувства валидированности (не стигматизированности),Доступность среды ,Развитие контактов между поколениями ,Развитие эмоционального интеллекта,"Понимание себя как части культуры, общества","Гармонизация социально-экономического развития регионов страны, особенно малых городов и сельских поселений"
Права и свободы человека,,"Поддержка людей в том, чтобы позитивно встречать риски",Изменение чувства безопасности,Вклад в личностное развитие,Вклад в личностное развитие,"Гармонизация социально-экономического развития регионов страны, особенно малых городов и сельских поселений",,Обеспечение возможности отвлечения от повседневных забот,Рост цифровизации сферы культуры и искусства ,"Укрепление единства и сплоченности общества на основе гражданской идентичности, сохранение духовно-нравственных ценностей",Развитие контактов между поколениями ,,Безопасность среды,Развитие сообщества творческих профессионалов,Изменение чувства валидированности (не стигматизированности),Развитие контактов между поколениями ,
Патриотизм,,Повышение общей удовлетворенности жизнью через самовыражение,"Увеличение числа граждан (молодежи), стремящихся жить и работать на родине","Изменение отношения к культуре, обществу, наследию, экологии …","Изменение отношения к культуре, обществу, наследию, экологии …",Вовлечение жителей в процесс развития региона,,,Развитие сообщества творческих профессионалов,"Качественный рост культурных и досуговых запросов граждан, в том числе в отношении медиапродукции",Рост социального капитала,,Освоенность общественных зон,,,"Владение русским литературным языком, знание истории страны",
Гражданственность,,Изменение чувства валидированности (не стигматизированности),Активизация культурного потенциала территорий,,Развитие лидерских качеств,Вклад в экономическое благополучие региона,,,,Обогащение культурно-интеллектуального досуга жителей и гостей ,,,,,,,
Служение Отечеству и ответственность за его судьбу,,"Повышение эффектов благополучия (стресс, самооценка, уверенность, удовольствие…)",,,Расширение участия в социальной деятельности,,,,,Расширение пользовательского и культурного опыта жителей  за счет участия в событиях различных форматов,,,,,,,
Высокие нравственные идеалы,,,,,"Содействие людям в исследовании своих ценностей, смыслов и мечтаний",,,,,"Повышение ожиданий публики от уровня культурных событий в городе в целом, интерес к новым именам (расширение кругозора и мотивации)",,,,,,,
Крепкая семья,,,,,"Укрепление единства и сплоченности общества на основе гражданской идентичности, сохранение духовно-нравственных ценностей",,,,,"Повышение знаний и актуализация представления о современной культурной, образовательной, литературной повестках России",,,,,,,
Созидательный труд,,,,,Консолидация местного сообщества,,,,,,,,,,,,
Приоритет духовного над материальным,,,,,"Понимание себя как части культуры, общества",,,,,,,,,,,,
Гуманизм,,,,,,,,,,,,,,,,,
Милосердие,,,,,,,,,,,,,,,,,
Справедливость,,,,,,,,,,,,,,,,,
Коллективизм,,,,,,,,,,,,,,,,,
Взаимопомощь и взаимоуважение,,,,,,,,,,,,,,,,,
Историческая память и преемственность поколений,,,,,,,,,,,,,,,,,
Единство народов России,,,,,,,,,,,,,,,,,
