Отдельные люди,Семьи и социальные группы,"Сообщество, общественность, широкая публика","Бизнес-сообщество, правительство, экономические субъекты",Социокультурная институция / команда
Вклад в личностное развитие,"Обеспечение условий для развлечений, удовольствий, радости",Расширение участия,Вклад в экономику,Содействие ведению текущей деятельности  культурных институций
Развитие эмоционального интеллекта,Обеспечение возможности отвлечения от повседневных забот,Сохранение наследия,Вклад в развитие взаимодействия и партнерства,Капитализация культурных институций
"Повышение самоэффективности,",,Повышение уровня знаний в обществе,,
Повышение навыков обучения,,Укрепление социального капитала,,
Изменение понимания/ ожиданий возможностей самореализации,,Содействие развитию сообщества,,
"Изменение отношения к культуре, обществу, наследию, экологии …",,Формирование идентичности и узнаваемости,,
Изменение знаний и навыков,,,,
Изменение поведения,,,,
Повышение общей удовлетворенности жизнью через самовыражение,,,,
Развитие лидерских качеств,,,,
Расширение участия в социальной деятельности,,,,
Расширение потенциала,,,,
"Повышение эффектов благополучия (стресс, самооценка, уверенность, удовольствие…)",,,,
Изменение чувства безопасности,,,,
Изменение чувства валидированности (не стигматизированности),,,,
Вдохновение новыми идеями,,,,
"Содействие людям в исследовании своих ценностей, смыслов и мечтаний",,,,
"Поддержка людей в том, чтобы позитивно встречать риски",,,,
