Результат,Ценности,Показатель 2,Показатель 3
«Точка» формирования соц. Ответственности,"Служение Отечеству и ответственность за его судьбу, Гражданственность","Доля участников, включившихся в волонтерские/шефские программы проекта на постоянной основе (спустя 3 месяца).","Количество социальных инициатив, запущенных участниками проекта для местного сообщества без внешнего финансирования."
Активизация культурного потенциала территорий,Права и свободы человека,"Количество вновь выявленных объектов нематериального культурного наследия (обрядов, песен, ремесел) с участием местных жителей.",Рост туристического потока (экскурсантов) на ранее не популярные локации территории.
"Альтернативная сфера досуга, сужающая «пространство» для асоциальной и противоправной деятельности","Жизнь, Достоинство",Снижение числа обращений в полицию по делам о правонарушениях в районе проведения мероприятий в вечернее время (в сравнении с прошлым годом).,"Охват целевой «трудной» аудитории (количество подростков из группы риска, регулярно посещающих площадку)."
Безопасность среды,Справедливость,"Количество выявленных и устраненных архитектурно-конструктивных дефектов (разбитые ступени, темные зоны) силами проектной команды.","Индекс субъективного ощущения безопасности (по результатам опроса местных жителей, % чувствующих себя в безопасности)."
Вдохновение,"Жизнь, Приоритет духовного над материальным","Количество творческих работ (стихов, картин, эссе), созданных участниками под впечатлением от проекта.","Количество участников, изменивших свой ежедневный график/род занятий для продолжения деятельности в сфере культуры (самореализация)."
Вдохновение новыми идеями,Созидательный труд,"Количество стартапов или социальных проектов, поданных на грантовые конкурсы, чья концепция родилась на площадках проекта.","Количество междисциплинарных коллабораций (музыка+наука, театр+IT), созданных по инициативе участников."
"Вклад в креативную экономику, творческие навыки предпринимателей","Жизнь, Созидательный труд","Количество предпринимателей, прошедших обучение и внедривших креативные инструменты (сторителлинг, брендинг) в свои бизнес-процессы.",Рост среднего чека в творческих мастерских участников проекта за счет внедрения новых продуктовых линеек.
Вклад в личностное развитие,"Патриотизм, Гражданственность, Высокие нравственные идеалы, Приоритет духовного над материальным, Взаимопомощь и взаимоуважение",Положительная динамика в уровне эмоционального интеллекта и самооценки (по методикам опросников «до/после»).,"Количество участников, получивших новые профессиональные компетенции (сертификаты, навыки) и применивших их на основной работе."
Вклад в развитие взаимодействия и партнерства,Взаимопомощь и взаимоуважение,"Количество новых устойчивых партнерств (Меморандумов/договоров) между НКО, бизнесом и властью, заключенных благодаря проекту.","Количество совместных мероприятий, проведенных в тандеме с другими учреждениями культуры района."
Вклад в экономику,Служение Отечеству и ответственность за его судьбу,"Объем внебюджетных средств (спонсорских, грантовых), привлеченных в локальный оборот на реализацию проекта.","Количество созданных временных рабочих мест для местных жителей (организаторы, волонтеры, технический персонал)."
Вклад в экономику региона,Служение Отечеству и ответственность за его судьбу,"Увеличение налоговых поступлений от субъектов МСП, задействованных в проекте (в календарный период).",Рост инвестиционной привлекательности района (количество запросов от инвесторов после PR-кампании проекта).
Вклад в экономическое благополучие региона,Служение Отечеству и ответственность за его судьбу,Изменение индекса качества городской среды в конкретном локальном квартале после благоустройства.,"Рост потребительской активности в локальных точках (кафе, магазины) во время проведения мероприятий проекта."
"Владение русским литературным языком, знание истории страны",Историческая память и преемственность поколений,Снижение количества орфографических и стилистических ошибок в текстах участников (до и после образовательного блока).,"Количество экскурсий/лекций по локальной и общей истории, проведенных силами подготовленных участников-волонтеров."
Влияние на защиту авторских прав и историческую доказательность,Достоинство,Количество оформленных заявок на регистрацию товарных знаков / патентов у участников-ремесленников после консультаций.,Количество публикаций в СМИ с использованием выверенных исторических фактов (опровержение фейков) при участии экспертов проекта.
Влияние на малый ремесленный бизнес,"Историческая память и преемственность поколений, Созидательный труд","Количество ремесленников, увеличивших объемы производства (в денежном или штучном выражении) благодаря новой сбытовой сети проекта.","Доля ремесленной продукции, реализованной на ярмарках проекта, в общем доходе мастера за сезон."
"Влияние на психическое самочувствие, психологическую реабилитацию","Жизнь, Гуманизм, Милосердие","Снижение уровня тревожности у постоянной аудитории (по шкале самооценки Спилбергера-Ханина, замер на старте и финише)",Количество благодарственных отзывов от участников с подтвержденной психосоматической положительной динамикой.
Влияние на стоимость близлежащей недвижимости,Созидательный труд,Изменение средней цены за кв. метр в радиусе 1 км от места реализации проекта (анализ риэлторских баз).,Сокращение срока экспозиции (времени продажи) объектов недвижимости в локации проекта.
Влияние на уровень грамотности и успеваемость молодежи,"Жизнь, Достоинство",Улучшение среднего балла по предметам гуманитарного цикла у школьников — постоянных участников проекта.,"Количество школьников, поступивших в профильные творческие вузы/колледжи после участия в проекте."
Вовлечение жителей в процесс развития региона,Служение Отечеству и ответственность за его судьбу,"Количество местных жителей, вошедших в общественные советы и рабочие группы при администрации.",Количество поданных через платформу проекта «народных инициатив» (предложений по улучшению городской среды).
Вовлечение местных жителей в процесс возрождения территорий,"Служение Отечеству и ответственность за его судьбу, Гражданственность, Патриотизм","Количество жителей, регулярно участвующих в субботниках, проектных сессиях и голосованиях по развитию общественных пространств (не менее 3 раз за сезон).","Доля предложений по благоустройству, выдвинутых жителями и включенных в итоговый план муниципальных работ."
