Результат,Отмеченные ценности,Предложения по изменению
«Точка» формирования соц. Ответственности,"Служение Отечеству и ответственность за его судьбу, Гражданственность",
Активизация культурного потенциала территорий,Права и свободы человека,
"Альтернативная сфера досуга, сужающая «пространство» для асоциальной и противоправной деятельности","Жизнь, Достоинство",
Безопасность среды,Справедливость,
Вдохновение,"Жизнь, Приоритет духовного над материальным",
Вдохновение новыми идеями,Созидательный труд,
"Вклад в креативную экономику, творческие навыки предпринимателей","Жизнь, Созидательный труд",
Вклад в личностное развитие,"Патриотизм, Гражданственность, Высокие нравственные идеалы, Приоритет духовного над материальным, Взаимопомощь и взаимоуважение",
Вклад в развитие взаимодействия и партнерства,Взаимопомощь и взаимоуважение,
Вклад в экономику,Служение Отечеству и ответственность за его судьбу,
Вклад в экономику региона,Служение Отечеству и ответственность за его судьбу,
Вклад в экономическое благополучие региона,Служение Отечеству и ответственность за его судьбу,
"Владение русским литературным языком, знание истории страны",Историческая память и преемственность поколений,
Влияние на защиту авторских прав и историческую доказательность,Достоинство,
Влияние на малый ремесленный бизнес,"Историческая память и преемственность поколений, Созидательный труд",
"Влияние на психическое самочувствие, психологическую реабилитацию","Жизнь, Гуманизм, Милосердие",
Влияние на стоимость близлежащей недвижимости,Созидательный труд,
Влияние на уровень грамотности и успеваемость молодежи,"Жизнь, Достоинство",
Вовлечение жителей в процесс развития региона,Служение Отечеству и ответственность за его судьбу,
Вовлечение местных жителей в процесс возрождения территорий,"Служение Отечеству и ответственность за его судьбу, Гражданственность, Патриотизм",
Воздействие на отношение к своему здоровью,Жизнь,
возможности самовыражения членов локального сообщества через вовлечение в творческие практики,Жизнь,
Возможности самореализации,Достоинство,
Возможность отвлечения от повседневных забот,Крепкая семья,
возможность творческого или символического самовыражения,Жизнь,
Вызов традиционному способу предоставления услуг,"Жизнь, Права и свободы человека",
"выражение общих смыслов (включая духовную, трансперсональную связь)",Приоритет духовного над материальным,
"Гармонизация социально-экономического развития регионов страны, особенно малых городов и сельских поселений","Служение Отечеству и ответственность за его судьбу, Единство народов России, Патриотизм",
#REF!,#REF!,
Городская реновация,Служение Отечеству и ответственность за его судьбу,
Достоинство,Достоинство,
Доступность среды ,Справедливость,
Зеленый менеджмент и девелопмент среды,Служение Отечеству и ответственность за его судьбу,
Изменение благополучия локального сообщества / рост социального капитала,"Жизнь, Достоинство, Права и свободы человека",
Изменение знаний и навыков,Жизнь,
"Изменение отношения к культуре, обществу, наследию, экологии …","Патриотизм, Гражданственность, Высокие нравственные идеалы, Историческая память и преемственность поколений",
#REF!,#REF!,
#REF!,#REF!,
Изменение поведения,Приоритет духовного над материальным,
Изменение понимания/ ожиданий возможностей самореализации,Взаимопомощь и взаимоуважение,
Изменение чувства безопасности,Права и свободы человека,
#REF!,#REF!,
Изменение чувства валидированности (не стигматизированности),"Права и свободы человека, Достоинство, Гуманизм, Милосердие, Взаимопомощь и взаимоуважение, Справедливость",
Капитализация культурных институций,Созидательный труд,
Капитализация культурных организаций и проектов,Созидательный труд,
"Качественный рост культурных и досуговых запросов граждан, в том числе в отношении медиапродукции","Высокие нравственные идеалы, Приоритет духовного над материальным",
Когнитивный рост,Жизнь,
Конкурентоспособность региона,Служение Отечеству и ответственность за его судьбу,
Консолидация местного сообщества,"Гражданственность, Служение Отечеству и ответственность за его судьбу, Коллективизм, Историческая память и преемственность поколений",
#REF!,#REF!,
Мотивация активного времяпровождения,Жизнь,
Мотивация активного образа жизни,Жизнь,
Мотивация путешествий и активного времяпровождения,Жизнь,
Национальная идентичность / развитие межнациональных / межкультурных связей,Единство народов России,
Обеспечение возможности отвлечения от повседневных забот,Крепкая семья,
"Обеспечение условий для развлечений, удовольствий, радости",Крепкая семья,
Обогащение культурно-интеллектуального досуга жителей и гостей ,Приоритет духовного над материальным,
опыт переживания эстетического удовольствия,Приоритет духовного над материальным,
Освоенность общественных зон,Справедливость,
Ответственное отношение к своему здоровью,Жизнь,
"Повышение знаний и актуализация представления о современной культурной, образовательной, литературной повестках России",Приоритет духовного над материальным,
Повышение навыков обучения,Созидательный труд,
Повышение общей удовлетворенности жизнью через самовыражение,Достоинство,
"Повышение ожиданий публики от уровня культурных событий в городе в целом, интерес к новым именам (расширение кругозора и мотивации)",Приоритет духовного над материальным,
Повышение привлекательности для туристов (иностранных и из других регионов),Историческая память и преемственность поколений,
"Повышение самоэффективности,",Созидательный труд,
Повышение социокультурного потенциала общества,Приоритет духовного над материальным,
Повышение удовлетворенностью жизнью,Достоинство,
Повышение уровня знаний,Жизнь,
Повышение уровня знаний в обществе,Приоритет духовного над материальным,
"Повышение эффектов благополучия (стресс, самооценка, уверенность, удовольствие…)",Достоинство,
"Поддержка людей в том, чтобы позитивно встречать риски",Достоинство,
Позитивная связь с миром природы,Жизнь,
Позитивное ощущение места,Жизнь,
Помощь в изменении имиджа общественных организаций или государственных органов,Гражданственность,
Помощь правонарушителям и потерпевшим в решении проблемы преступности,Справедливость,
"Понимание себя как части культуры, общества","Гражданственность, Историческая память и преемственность поколений",
Поощрение взрослых использовать возможности образования и профессиональной подготовки на протяжении всей жизни,"Достоинство, Права и свободы человека",
практики рефлексии,Достоинство,
"Привлекательность «точки» культуры для творческих людей и профессий, влияние на состав населения и за счёт этого на благополучие территории","Жизнь, Права и свободы человека",
Привлекательность региона,"Жизнь, Достоинство",
Проявление общественной значимости,Служение Отечеству и ответственность за его судьбу,
Прямой вклад в экономическое развитие как поставщика услуг,Служение Отечеству и ответственность за его судьбу,
Прямой и косвенный вклад в занятость,Созидательный труд,
Равенство возможностей,"Достоинство, Справедливость, Милосердие, Гуманизм",
"Развитие гражданского участия, вовлеченности","Права и свободы человека, Гражданственность",
"Развитие гражданского участия, вовлечённости, ответственности, местного политического процесса",Гражданственность,
Развитие когнитивных способностей,Жизнь,
Развитие контактов между поколениями ,"Гуманизм, Коллективизм, Историческая память и преемственность поколений",
Развитие лидерских качеств,Гражданственность,
Развитие партнерств,Коллективизм,
"Развитие рынка труда в сфере культуры
",Созидательный труд,
Развитие сообщества творческих профессионалов,"Созидательный труд, Коллективизм",
"развитие сообщества художников, креативных индустрий,","Коллективизм, Взаимопомощь и взаимоуважение",
